entity,tag,category,Tagged,tag_status
 بني طريف,@BanuTarif,group,TRUE,FALSE
 بنو طريف,@BanuTarif,group,TRUE,FALSE
بني النعمان,@BanuNuCman,group,TRUE,FALSE
بنو النعمان,@BanuNuCman,group,TRUE,FALSE
بني عدي بن نابي,@BanuCadiyIbnNabi,group,TRUE,FALSE
بنو عدي بن نابي,@BanuCadiyIbnNabi,group,TRUE,FALSE
بني خالد,@BanuKhalid,group,TRUE,FALSE
بنو خالد,@BanuKhalid,group,TRUE,FALSE
بني خلدة,@BanuKhalada,group,TRUE,FALSE
بنو خلدة,@BanuKhalada,group,TRUE,FALSE
بني العجلان,@BanuCajlan,group,TRUE,FALSE
بنو العجلان,@BanuCajlan,group,TRUE,FALSE
بني عسيرة,@BanuCusayra,group,TRUE,FALSE
بنو عسيرة,@BanuCusayra,group,TRUE,FALSE
بني عبيد بن ثعلبة,@BanuCubaydIbnThaClaba,group,TRUE,FALSE
بنو عبيد بن ثعلبة,@BanuCubaydIbnThaClaba,group,TRUE,FALSE
بني عائذ,@BanuCaidh,group,TRUE,FALSE
بنو عائذ,@BanuCaidh,group,TRUE,FALSE
بني عامر بن مالك,@BanuCamirIbnMalik,group,TRUE,FALSE
بنو عامر بن مالك,@BanuCamirIbnMalik,group,TRUE,FALSE
بني عدي بن عمرو,@BanuCadiyIbnCamr,group,TRUE,FALSE
بنو عدي بن عمرو,@BanuCadiyIbnCamr,group,TRUE,FALSE
بني عدي بن النجار,@BanuCadiyIbnNajjar,group,TRUE,FALSE
بنو عدي بن النجار,@BanuCadiyIbnNajjar,group,TRUE,FALSE
بني حرام بن جندب,@BanuHaramIbnJundub,group,TRUE,FALSE
بنو حرام بن جندب,@BanuHaramIbnJundub,group,TRUE,FALSE
بني خنساء بن مبذول,@BanuKhansaIbnMabdhul,group,TRUE,FALSE
بنو خنساء بن مبذول,@BanuKhansaIbnMabdhul,group,TRUE,FALSE
بني ثعلبة بن مازن,@BanuThaClabaIbnMazin,group,TRUE,FALSE
بنو ثعلبة بن مازن,@BanuThaClabaIbnMazin,group,TRUE,FALSE
 بني دينار,@BanuDinarIbnNajjar,group,TRUE,FALSE
 بنو دينار,@BanuDinarIbnNajjar,group,TRUE,FALSE
بني الحارث بن فهر,@BanuHarithIbnFihr,group,TRUE,FALSE
بنو الحارث بن فهر,@BanuHarithIbnFihr,group,TRUE,FALSE
بني الحارث بن الخزرج,@BanuHarithIbnKhazraj,group,TRUE,FALSE
بنو الحارث بن الخزرج,@BanuHarithIbnKhazraj,group,TRUE,FALSE
بني تميم بن مرة,@BanuTaymIbnMurra,group,TRUE,FALSE
بني سليم,@BanuSulaym,group,TRUE,FALSE
بنو سليم,@BanuSulaym,group,TRUE,FALSE
راتج,@AhlRatij,group,TRUE,FALSE
بني مبذول,@BanuMabdhul,group,TRUE,FALSE
بنو مبذول,@BanuMabdhul,group,TRUE,FALSE
بني مازن,@BanuMazin,group,TRUE,FALSE
بنو مازن,@BanuMazin,group,TRUE,FALSE
بني الحبلى,@BanuHubla,group,TRUE,FALSE
بنو الحبلى,@BanuHubla,group,TRUE,FALSE
بني خطمة,@BanuKhutma,group,TRUE,FALSE
بنو خطمة,@BanuKhutma,group,TRUE,FALSE
غطفان,@BanuGhatafan,group,TRUE,FALSE
بني هدل,@BanuHadl,group,TRUE,FALSE
بنو هدل,@BanuHadl,group,TRUE,FALSE
بني لحيان,@BanuLihyan,group,TRUE,FALSE
بنو لحيان,@BanuLihyan,group,TRUE,FALSE
بني المصطلق,@BanuMustaliq,group,TRUE,FALSE
بنو المصطلق,@BanuMustaliq,group,TRUE,FALSE
بكر,@BanuBakr,group,TRUE,FALSE
بني جذيمة,@BanuJadhima,group,TRUE,FALSE
بنو جذيمة,@BanuJadhima,group,TRUE,FALSE
قضاعة,@BanuQudaCa,group,TRUE,FALSE
بني سعد,@BanuSaCd,group,TRUE,FALSE
بنو سعد,@BanuSaCd,group,TRUE,FALSE
بني عبد مناف,@BanuCabdManaf,group,TRUE,FALSE
بنو عبد مناف,@BanuCabdManaf,group,TRUE,FALSE
الخزرج,@BanuKhazraj,group,TRUE,FALSE
بني قيس بن ثعلبة,@BanuQaysIbnThaCliba,group,TRUE,FALSE
بنو قيس بن ثعلبة,@BanuQaysIbnThaCliba,group,TRUE,FALSE
مخزوم,@BanuMakhzum,group,TRUE,FALSE
بني عمرو بن عوف,@BanuCamrIbnCauf,group,TRUE,FALSE
بنو عمرو بن عوف,@BanuCamrIbnCauf,group,TRUE,FALSE
بني جحش,@BanuJahsh,group,TRUE,FALSE
بنو جحش,@BanuJahsh,group,TRUE,FALSE
بني عمرو,@BanuCamrIbnCauf,group,TRUE,FALSE
بنو عمرو,@BanuCamrIbnCauf,group,TRUE,FALSE
بني عوف,@BanuCaufIbnKhazraj,group,TRUE,FALSE
بنو عوف,@BanuCaufIbnKhazraj,group,TRUE,FALSE
